iter	RMSE
0	0.1283693126
1	0.128342618
2	0.1283198474
3	0.1282973195
4	0.1282724868
5	0.1282509288
6	0.1282280837
7	0.1282090695
8	0.1281881124
9	0.1281683032
10	0.1281474794
11	0.1281265169
12	0.1281094102
13	0.1280927678
14	0.1280739307
15	0.1280583067
16	0.1280412717
17	0.1280254454
18	0.1280107293
19	0.1279942453
20	0.1279798085
21	0.12796523
22	0.1279515604
23	0.1279338811
24	0.1279203324
25	0.1279049634
26	0.1278851798
27	0.127869788
28	0.1278562937
29	0.1278419543
30	0.1278230544
31	0.1278093619
32	0.1277963489
33	0.1277829805
34	0.1277705095
35	0.127754824
36	0.1277394718
37	0.127729397
38	0.1277190444
39	0.1277044758
40	0.1276928128
41	0.1276750546
42	0.1276613937
43	0.1276498404
44	0.1276410804
45	0.1276320843
46	0.1276219063
47	0.127611546
48	0.1275965996
49	0.1275847357
50	0.1275750368
51	0.1275647347
52	0.1275529976
53	0.1275443264
54	0.1275361906
55	0.127527708
56	0.1275133579
57	0.1275046125
58	0.1274964966
59	0.1274810995
60	0.1274744441
61	0.1274669547
62	0.1274600405
63	0.1274497718
64	0.1274403325
65	0.1274332546
66	0.1274276117
67	0.1274139294
68	0.1274049096
69	0.1273959857
70	0.1273879472
71	0.1273809208
72	0.1273738304
73	0.1273667524
74	0.1273595415
75	0.1273518237
76	0.1273422168
77	0.1273342158
78	0.1273291208
79	0.1273221957
80	0.1273136216
81	0.1273094066
82	0.127302583
83	0.1272976522
84	0.1272931191
85	0.1272892603
86	0.1272825938
87	0.127278886
88	0.1272703667
89	0.1272653836
90	0.1272580249
91	0.1272525085
92	0.1272438975
93	0.1272358583
94	0.1272308864
95	0.1272274308
96	0.1272215461
97	0.1272166492
98	0.1272136746
99	0.1272104161
100	0.1272075461
101	0.1271994437
102	0.1271945905
103	0.1271848325
104	0.1271817598
105	0.127178751
106	0.1271742775
107	0.127167474
108	0.1271639316
109	0.1271611426
110	0.1271581945
111	0.127153872
112	0.1271494276
113	0.1271457986
114	0.1271431089
115	0.1271398958
116	0.1271373073
117	0.1271329922
118	0.1271297403
119	0.1271246503
120	0.1271192129
121	0.1271117937
122	0.1271051547
123	0.1271014121
124	0.127096311
125	0.1270931138
126	0.1270874901
127	0.1270848541
128	0.1270830405
129	0.1270799364
130	0.1270723311
131	0.1270655929
132	0.1270622245
133	0.1270587596
134	0.1270573116
135	0.1270539229
136	0.1270443721
137	0.1270422619
138	0.1270388477
139	0.1270346006
140	0.1270328752
141	0.1270314678
142	0.127030147
143	0.1270267374
144	0.1270238675
145	0.1270197243
146	0.1270185856
147	0.1270122708
148	0.1270111574
149	0.1270068289
150	0.1270017328
151	0.1269971613
152	0.1269942116
153	0.1269849727
154	0.126980974
155	0.1269752958
156	0.1269722117
157	0.1269682453
158	0.1269654397
159	0.1269591235
160	0.1269528893
161	0.1269484254
162	0.1269450807
163	0.1269428508
164	0.1269339887
165	0.1269235742
166	0.1269188469
167	0.1269134906
168	0.1269114827
169	0.1269086294
170	0.1269042568
171	0.1269007362
172	0.126897528
173	0.1268912461
174	0.1268838747
175	0.1268798331
176	0.1268748836
177	0.1268715466
178	0.1268651865
179	0.1268606986
180	0.1268562714
181	0.1268549151
182	0.1268494424
183	0.1268461031
184	0.1268407956
185	0.1268377457
186	0.126834179
187	0.1268317465
188	0.1268266356
189	0.126825528
190	0.1268239214
191	0.1268167007
192	0.1268144359
193	0.1268131978
194	0.1268097651
195	0.1268069936
196	0.1268033149
197	0.1268008585
198	0.1267962167
199	0.1267957466
200	0.1267934115
201	0.1267885171
202	0.1267870777
203	0.1267798862
