iter	Passed	Remaining
0	190	85492
1	313	70150
2	438	65409
3	641	71527
4	793	70598
5	1017	75325
6	1172	74190
7	1333	73684
8	1500	73539
9	1634	71936
10	1862	74334
11	2050	74826
12	2197	73854
13	2294	71450
14	2583	74907
15	2646	71792
16	2915	74268
17	3068	73649
18	3100	70331
19	3253	69941
20	3436	70206
21	3517	68436
22	3601	66857
23	3830	67987
24	4158	70699
25	4417	72036
26	4704	73702
27	4979	75050
28	5250	76218
29	5511	77161
30	5812	78564
31	6048	79012
32	6227	78691
33	6443	78833
34	6532	77456
35	6807	78280
36	7057	78775
37	7142	77438
38	7261	76528
39	7456	76425
40	7699	76807
41	7889	76638
42	8060	76293
43	8206	75727
44	8250	74254
45	8426	74004
46	8562	73419
47	8791	73630
48	8959	73325
49	9108	72871
50	9267	72508
51	9399	71941
52	9563	71636
53	9717	71263
54	9907	71155
55	10006	70399
56	10170	70123
57	10339	69883
58	10429	69114
59	10631	69106
60	10748	68546
61	10805	67623
62	10999	67568
63	11148	67236
64	11331	67117
65	11433	66521
66	11470	65567
67	11770	66123
68	11996	66240
69	12208	66275
70	12344	65895
71	12466	65448
72	12622	65189
73	12748	64777
74	12896	64484
75	13065	64294
76	13275	64308
77	13445	64126
78	13614	63938
79	13796	63807
80	13969	63637
81	14043	63025
82	14173	62670
83	14281	62225
84	14498	62257
85	14566	61653
86	14769	61624
87	14877	61198
88	15079	61163
89	15346	61386
90	15594	61521
91	15791	61450
92	15945	61208
93	16094	60951
94	16273	60812
95	16417	60538
96	16565	60286
97	16759	60197
98	16812	59606
99	17001	59504
100	17068	58979
101	17216	58738
102	17391	58590
103	17548	58383
104	17719	58221
105	17799	57763
106	17965	57588
107	18137	57434
108	18311	57286
109	18391	56846
110	18539	56619
111	18693	56414
112	18854	56229
113	19038	56113
114	19097	55632
115	19145	55126
116	19208	54669
117	19367	54491
118	19552	54385
119	19723	54240
120	19852	53978
121	19995	53757
122	20176	53640
123	20314	53407
124	20565	53469
125	20746	53346
126	20915	53195
127	21017	52872
128	21068	52425
129	21265	52346
130	21459	52256
131	21699	52276
132	21929	52268
133	22135	52199
134	22194	51788
135	22311	51513
136	22656	51761
137	22798	51544
138	23064	51605
139	23229	51436
140	23346	51163
141	23431	50822
142	23500	50451
143	23807	50590
144	24069	50629
145	24258	50510
146	24300	50088
147	24513	50020
148	24590	49677
149	24840	49680
150	25209	49917
151	25398	49793
152	25537	49572
153	25697	49392
154	25870	49238
155	26005	49009
156	26129	48764
157	26323	48648
158	26447	48404
159	26599	48212
160	26769	48051
161	26937	47888
162	27160	47822
163	27281	47575
164	27460	47431
165	27624	47260
166	27806	47120
167	28006	47011
168	28133	46778
169	28276	46572
170	28470	46452
171	28647	46302
172	28822	46149
173	28993	45990
174	29152	45811
175	29314	45636
176	29504	45506
177	29724	45422
178	29889	45251
179	30053	45079
180	30218	44909
181	30339	44675
182	30523	44534
183	30750	44454
184	30979	44375
185	31214	44304
186	31409	44174
187	31611	44053
188	31929	44093
189	32102	43929
190	32318	43824
191	32519	43698
